Day,Month,Year,Supply,Demand
11,3,2022,32,34
10,11,2022,33,34
2,5,2022,10,14
29,12,2022,10,13
15,4,2022,10,14
25,7,2022,10,14
5,3,2022,11,14
23,8,2022,11,14
14,9,2022,11,14
7,10,2022,14,14
11,5,2022,11,15
5,10,2022,11,14
19,12,2022,11,14
26,7,2022,11,14
13,9,2022,11,15
13,6,2022,11,15
2,3,2022,11,15
28,7,2022,11,15
27,5,2022,15,19
25,1,2022,15,19
25,9,2022,15,19
11,10,2022,15,19
9,2,2022,13,14
21,12,2022,13,14
4,4,2022,13,14
29,9,2022,13,14
6,7,2022,28,30
12,6,2022,28,30
8,2,2022,28,29
20,7,2022,28,29
12,9,2022,33,36
14,7,2022,33,33
1,12,2022,33,33
19,10,2022,32,38
21,1,2022,30,34
14,12,2022,30,29
11,5,2022,30,30
22,3,2022,29,35
27,5,2022,27,30
2,8,2022,27,28
23,9,2022,27,27
18,7,2022,26,31
29,9,2022,39,44
14,2,2022,40,38
7,1,2022,40,37
20,11,2022,39,46
3,1,2022,37,37
23,9,2022,36,38
22,7,2022,37,37
27,5,2022,36,37
25,6,2022,12,15
4,10,2022,13,16
14,3,2022,12,15
27,2,2022,12,16
25,1,2022,13,15
21,5,2022,13,16
7,5,2022,13,15
23,3,2022,13,16
29,10,2022,13,15
16,5,2022,13,16
2,2,2022,13,15
3,8,2022,13,16
11,5,2022,13,16
22,6,2022,13,16
26,11,2022,13,16
29,10,2022,13,16
28,10,2022,18,21
11,2,2022,17,21
13,5,2022,18,21
15,3,2022,17,21
27,10,2022,15,16
28,3,2022,15,16
22,1,2022,15,16
25,2,2022,15,16
18,7,2022,29,30
18,4,2022,29,30
7,5,2022,28,30
18,10,2022,29,30
17,11,2022,32,36
18,11,2022,33,33
18,9,2022,32,33
5,2,2022,32,38
10,1,2022,29,33
19,4,2022,30,28
19,11,2022,29,30
15,11,2022,28,35
13,4,2022,26,28
17,7,2022,26,27
12,12,2022,25,27
18,7,2022,25,30
27,6,2022,39,44
5,7,2022,40,37
24,5,2022,40,37
7,7,2022,39,46
22,5,2022,37,37
12,5,2022,36,37
3,9,2022,37,37
2,10,2022,36,37
5,9,2022,12,15
6,1,2022,12,15
25,10,2022,12,15
9,11,2022,12,15
20,12,2022,12,15
16,8,2022,12,15
18,7,2022,12,15
22,7,2022,12,15
15,2,2022,13,16
22,1,2022,13,16
28,12,2022,13,16
23,2,2022,13,16
9,11,2022,13,16
23,7,2022,13,16
5,8,2022,13,16
28,10,2022,13,16
24,2,2022,17,20
24,6,2022,17,21
8,12,2022,17,20
16,5,2022,17,20
4,3,2022,14,15
27,8,2022,15,16
12,11,2022,15,15
4,12,2022,15,15
16,8,2022,29,29
15,3,2022,29,30
18,12,2022,28,30
19,3,2022,29,30
27,1,2022,32,36
1,7,2022,32,35
13,5,2022,33,33
7,10,2022,32,32
9,6,2022,28,34
10,8,2022,29,33
14,8,2022,29,28
8,2,2022,29,30
12,12,2022,25,29
15,7,2022,25,28
26,9,2022,25,27
16,10,2022,25,26
17,11,2022,39,45
28,3,2022,38,44
1,8,2022,40,38
17,7,2022,40,37
17,8,2022,36,36
3,5,2022,37,36
16,4,2022,36,37
5,12,2022,37,37
1,12,2022,12,14
18,3,2022,12,14
6,6,2022,12,15
4,8,2022,12,15
22,8,2022,12,15
13,1,2022,12,15
4,11,2022,12,16
16,3,2022,12,15
10,12,2022,12,15
17,3,2022,12,14
15,1,2022,12,15
5,12,2022,12,15
16,12,2022,13,16
5,2,2022,13,16
9,8,2022,13,16
17,9,2022,13,16
6,9,2022,17,20
7,7,2022,17,20
19,9,2022,17,20
19,6,2022,17,20
23,5,2022,14,15
14,9,2022,14,15
7,6,2022,14,15
27,9,2022,14,14
11,4,2022,29,30
21,5,2022,29,30
20,8,2022,28,30
19,4,2022,29,30
1,11,2022,33,32
24,8,2022,32,37
5,2,2022,32,36
22,7,2022,33,33
16,11,2022,29,29
5,3,2022,28,34
16,12,2022,29,34
26,4,2022,30,28
14,8,2022,26,26
6,11,2022,25,29
29,9,2022,25,29
26,12,2022,26,27
23,9,2022,40,36
19,12,2022,39,45
20,5,2022,38,44
11,10,2022,40,37
5,3,2022,37,37
8,2,2022,36,37
18,8,2022,37,37
15,1,2022,36,38
27,2,2022,12,15
29,9,2022,12,15
22,10,2022,12,15
27,6,2022,12,15
29,11,2022,12,15
26,5,2022,12,15
28,8,2022,12,15
28,2,2022,12,16
3,11,2022,13,15
11,12,2022,13,16
19,12,2022,13,16
21,3,2022,13,16
23,3,2022,13,16
8,10,2022,13,16
8,9,2022,13,16
1,9,2022,13,16
1,6,2022,17,20
20,4,2022,17,20
16,7,2022,17,20
5,8,2022,17,20
6,6,2022,14,15
12,10,2022,15,16
1,10,2022,15,15
15,1,2022,15,15
6,2,2022,29,30
23,8,2022,29,30
27,9,2022,28,30
17,2,2022,29,30
24,4,2022,33,32
4,12,2022,32,32
25,6,2022,32,37
26,4,2022,32,36
19,3,2022,30,28
22,3,2022,29,29
19,3,2022,28,34
27,8,2022,29,33
2,3,2022,26,27
8,2,2022,25,26
27,6,2022,25,29
27,5,2022,25,28
12,5,2022,40,38
29,1,2022,40,37
23,1,2022,39,45
22,4,2022,39,44
30,9,2022,36,37
1,5,2022,37,37
6,10,2022,36,36
1,4,2022,37,36
26,10,2022,12,14
7,2,2022,12,15
21,12,2022,12,15
7,11,2022,12,14
7,1,2022,12,15
28,7,2022,12,15
16,5,2022,12,15
25,12,2022,12,15
17,12,2022,12,15
5,4,2022,12,15
15,4,2022,12,15
14,10,2022,12,15
18,1,2022,13,16
13,12,2022,13,16
7,2,2022,13,16
8,11,2022,13,16
4,9,2022,17,20
10,8,2022,17,20
3,6,2022,17,20
26,8,2022,17,20
15,5,2022,14,15
24,2,2022,14,15
10,3,2022,14,15
11,11,2022,14,15
7,4,2022,32,33
2,2,2022,32,33
23,5,2022,32,33
23,11,2022,33,33
25,9,2022,36,39
5,5,2022,37,36
1,3,2022,37,36
6,7,2022,36,41
27,11,2022,32,36
26,12,2022,32,31
20,12,2022,32,32
12,3,2022,31,37
4,4,2022,29,32
19,9,2022,30,29
26,8,2022,30,29
19,6,2022,29,34
25,10,2022,41,45
21,6,2022,43,39
18,1,2022,43,38
18,10,2022,42,47
26,9,2022,41,40
14,5,2022,40,41
26,11,2022,41,41
19,11,2022,40,39
26,4,2022,15,17
26,4,2022,15,17
12,9,2022,15,17
10,9,2022,15,17
1,3,2022,15,17
28,11,2022,15,18
14,1,2022,15,17
23,1,2022,15,17
2,11,2022,15,17
7,11,2022,15,17
3,6,2022,14,17
6,12,2022,14,17
30,11,2022,15,18
6,4,2022,15,18
1,4,2022,15,18
12,5,2022,15,18
11,4,2022,20,23
20,5,2022,19,23
28,3,2022,19,23
5,9,2022,19,23
13,12,2022,15,17
26,12,2022,17,17
14,9,2022,17,17
6,10,2022,17,17
10,1,2022,33,33
4,2,2022,33,33
19,10,2022,32,34
16,10,2022,33,34
6,4,2022,36,38
26,2,2022,37,35
1,6,2022,36,35
27,7,2022,36,41
15,9,2022,32,35
4,1,2022,33,31
23,4,2022,32,32
14,1,2022,32,37
13,3,2022,29,30
6,3,2022,29,28
17,7,2022,29,29
2,1,2022,28,33
18,5,2022,42,46
1,3,2022,43,39
29,3,2022,43,39
27,10,2022,42,48
10,6,2022,41,39
3,4,2022,40,40
1,9,2022,41,40
25,12,2022,40,40
9,11,2022,15,16
22,12,2022,14,17
12,12,2022,14,17
12,8,2022,15,17
27,7,2022,15,17
22,4,2022,15,17
4,11,2022,14,17
3,12,2022,15,18
31,5,2022,15,16
22,5,2022,15,17
25,4,2022,14,17
22,7,2022,15,17
16,1,2022,15,18
22,6,2022,15,18
4,2,2022,15,18
26,6,2022,15,18
27,6,2022,19,22
19,9,2022,19,22
25,9,2022,19,22
21,6,2022,19,22
19,10,2022,17,17
21,9,2022,17,17
21,5,2022,17,17
26,6,2022,17,17
14,3,2022,33,33
10,5,2022,33,33
14,8,2022,32,34
2,4,2022,33,34
10,2,2022,34,37
20,11,2022,35,35
24,2,2022,35,34
12,7,2022,34,33
15,1,2022,31,35
25,6,2022,32,35
25,9,2022,32,30
9,10,2022,32,32
2,10,2022,29,32
4,12,2022,30,31
15,2,2022,29,30
10,9,2022,29,30
11,9,2022,41,46
1,11,2022,41,44
13,1,2022,42,39
16,5,2022,42,38
10,8,2022,39,38
24,2,2022,40,38
8,7,2022,39,40
24,5,2022,40,40
14,7,2022,14,16
1,12,2022,14,15
31,12,2022,14,17
7,9,2022,14,17
5,12,2022,14,16
21,9,2022,14,15
7,11,2022,14,17
24,5,2022,14,16
16,3,2022,14,16
15,2,2022,15,16
9,10,2022,14,17
18,6,2022,14,17
14,7,2022,15,17
16,6,2022,15,18
15,7,2022,15,18
14,6,2022,15,18
21,6,2022,18,21
22,8,2022,19,21
29,9,2022,18,22
26,10,2022,18,22
19,10,2022,16,17
5,2,2022,16,17
19,1,2022,17,17
28,3,2022,17,16
10,8,2022,33,33
14,1,2022,33,33
13,10,2022,32,34
19,4,2022,33,34
8,5,2022,36,34
25,8,2022,36,40
7,2,2022,35,39
27,2,2022,37,36
23,1,2022,32,32
12,7,2022,32,36
10,8,2022,32,36
7,3,2022,33,31
10,10,2022,29,28
22,12,2022,28,32
8,1,2022,29,31
9,1,2022,30,28
21,2,2022,43,38
17,10,2022,42,48
5,6,2022,41,46
22,8,2022,43,40
7,7,2022,41,40
18,11,2022,40,40
16,9,2022,41,40
6,2,2022,40,41
21,11,2022,14,17
2,2,2022,14,17
22,1,2022,14,17
10,3,2022,14,17
17,5,2022,15,17
3,11,2022,15,17
22,2,2022,14,17
6,12,2022,15,18
17,8,2022,15,17
22,10,2022,15,17
24,1,2022,15,17
21,8,2022,15,17
29,3,2022,15,18
7,5,2022,15,18
14,6,2022,15,18
5,7,2022,15,18
28,3,2022,19,22
7,11,2022,19,22
18,1,2022,19,22
7,7,2022,19,22
9,11,2022,16,17
29,11,2022,17,17
4,11,2022,17,17
14,7,2022,17,17
16,5,2022,33,33
4,6,2022,33,33
21,9,2022,32,34
23,2,2022,33,34
3,9,2022,36,34
15,4,2022,35,33
10,2,2022,35,39
24,9,2022,35,37
23,8,2022,32,30
30,10,2022,32,31
6,6,2022,31,36
6,2,2022,32,36
10,11,2022,30,30
15,5,2022,30,30
20,7,2022,29,34
23,10,2022,30,33
4,8,2022,42,39
17,7,2022,42,38
15,4,2022,41,47
23,9,2022,41,45
6,4,2022,39,39
1,7,2022,40,40
3,1,2022,39,38
24,5,2022,40,38
9,4,2022,14,17
12,9,2022,14,17
4,11,2022,14,17
17,12,2022,14,17
7,4,2022,12,16
26,7,2022,13,15
28,2,2022,13,15
14,10,2022,12,15
23,7,2022,14,17
8,8,2022,14,16
12,6,2022,14,17
28,2,2022,14,17
29,10,2022,15,18
27,3,2022,15,18
24,3,2022,15,18
15,7,2022,15,18
17,10,2022,18,21
8,3,2022,18,20
6,9,2022,18,21
21,2,2022,18,21
21,12,2022,17,17
9,10,2022,16,17
14,6,2022,16,17
5,1,2022,17,16
